id,name,geoId
1,Kabul,1
2,Kapisa,2
3,Parwan,3
4,Panjsher,8
5,Wardak,4
6,Logar,5
7,Bamyan,10
8,Daikondi,24
9,Nangerhar,6
10,Kunarha,15
11,Laghman,7
12,Nooristan,16
13,Balkh,21
14,Faryab,29
15,Jozjan,28
16,Samangan,20
17,Sar-I-Pul,22
18,Badakhshan,17
19,Baghlan,9
20,Kunduz,19
21,Takhar,18
22,Kandahar,27
23,Helmand,30
24,Neemroz,34
25,Urozgan,25
26,Zabul,26
27,Paktia,13
28,Ghazni,11
29,Paktika,12
30,Khost,14
31,Herat,32
32,Badghis,31
33,Farah,33
34,Ghor,23
35,Iran,
36,Pakistan,