prov_name,iec_id,dist_name,polling_centers,male_stations,female_stations,tefa,anpo,aynso,all_observers,hasfefa,teams,agcho_dist_id
Kabul,101,KABUL,382,1017,816,40,0,0,40,1,"TEFA, FEFA",101
Kabul,105,DEHSABZ,15,37,29,22,0,0,22,1,"TEFA, FEFA",102
Kabul,106,SHAKAR DARA,14,41,29,15,0,0,15,1,"TEFA, FEFA",103
Kabul,102,PAGHMAN,21,40,26,22,0,0,22,1,"TEFA, FEFA",104
Kabul,103,CHAHAR ASYAB,14,26,17,18,0,0,18,1,"TEFA, FEFA",105
Kabul,107,MUSAHI,8,12,11,10,0,0,10,1,"TEFA, FEFA",106
Kabul,104,BAGRAMI,16,32,22,22,0,0,22,1,"TEFA, FEFA",107
Kabul,114,QARA BAGH,18,39,30,23,0,0,23,1,"TEFA, FEFA",108
Kabul,110,KALAKAN,8,15,11,12,0,0,12,1,"TEFA, FEFA",109
Kabul,108,MIR BACHA KOT,12,23,18,19,0,0,19,1,"TEFA, FEFA",110
Kabul,111,GULDARA,6,14,10,12,0,0,12,1,"TEFA, FEFA",111
Kabul,109,KHAK-E-JABAR,9,12,10,10,0,0,10,1,"TEFA, FEFA",112
Kabul,115,SURUBI,19,36,26,27,0,0,27,1,"TEFA, FEFA",113
Kabul,113,ESTALEF,7,12,11,10,0,0,10,1,"TEFA, FEFA",114
Kabul,112,FARZA,8,13,10,10,0,0,10,1,"TEFA, FEFA",115
Kapisa,201,MAHMUDI RAQI,18,45,31,23,0,0,23,1,"TEFA, FEFA",201
Kapisa,205,NIJRAB,26,33,29,20,0,0,20,1,"TEFA, FEFA",202
Kapisa,203,KOH BAND,9,16,9,10,0,0,10,1,"TEFA, FEFA",203
Kapisa,202,HISSA-E-DUWUM KOHISTAN,7,18,8,12,0,0,12,1,"TEFA, FEFA",204
Kapisa,206,TAGAB,10,20,7,10,0,0,10,1,"TEFA, FEFA",205
Kapisa,207,ALASAY,1,2,1,3,0,0,3,0,TEFA,206
Kapisa,204,HISSA-E-AWALI KOHISTAN,13,34,21,18,0,0,18,1,"TEFA, FEFA",207
Parwan,301,CHARIKAR,36,77,38,22,0,0,22,1,"TEFA, FEFA",301
Parwan,305,JABULUSSARAJ,15,40,19,20,0,0,20,1,"TEFA, FEFA",302
Parwan,303,SHINWARI,6,8,6,5,0,0,5,1,"TEFA, FEFA",303
Parwan,302,BAGRAM,24,54,38,18,0,0,18,1,"TEFA, FEFA",304
Parwan,304,SAYID KHIAL,13,20,14,16,0,0,16,1,"TEFA, FEFA",305
Parwan,306,SALANG,9,12,9,20,0,0,20,1,"TEFA, FEFA",306
Parwan,307,SYAHGIRDI GHORBAND,6,11,6,8,0,0,8,1,"TEFA, FEFA",307
Parwan,308,KOHI SAFI,8,10,8,9,0,0,9,1,"TEFA, FEFA",308
Parwan,310,SHAYKH ALI,10,10,10,10,0,0,10,1,"TEFA, FEFA",309
Parwan,309,SURKHI PARSA,11,11,11,10,0,0,10,1,"TEFA, FEFA",310
Wardak,401,MAYDAN SHAH,13,25,18,19,0,0,19,1,"TEFA, FEFA",401
Wardak,403,JALREZ,11,22,11,15,0,0,15,1,"TEFA, FEFA",402
Wardak,402,NERKH,18,25,18,19,0,0,19,1,"TEFA, FEFA",403
Wardak,407,HISSA-E-AWALI BIHSUD,9,14,10,12,0,0,12,1,"TEFA, FEFA",404
Wardak,406,DAYMIRDAD,8,10,8,8,0,0,8,1,"TEFA, FEFA",405
Wardak,404,CHAKI WARDAK,25,29,25,20,0,0,20,0,TEFA,406
Wardak,405,SAYYD ABAD,35,44,36,20,0,0,20,1,"TEFA, FEFA",407
Wardak,409,MARKAZ-E-BEHSUD,30,38,30,23,0,0,23,1,"TEFA, FEFA",408
Wardak,408,JAGHATU,11,14,12,12,0,0,12,0,TEFA,409
Logar,501,PULI ALAM,21,54,38,23,20,0,43,1,"TEFA, ANPO, FEFA",501
Logar,504,KHUSHI,4,10,7,8,8,0,16,1,"TEFA, ANPO, FEFA",502
Logar,505,MOHAMMAD AGHA,19,42,26,16,20,0,36,1,"TEFA, ANPO, FEFA",503
Logar,502,BARAKI BARAK,19,36,20,18,12,0,30,1,"TEFA, ANPO, FEFA",504
Logar,503,CHARKH,5,15,11,12,8,0,20,1,"TEFA, ANPO, FEFA",505
Logar,506,KHAR WAR,6,16,11,13,0,0,13,0,TEFA,506
Logar,507,AZRA,9,29,22,18,0,0,18,1,"TEFA, FEFA",507
Nangarhar,601,JALALABAD,44,124,106,25,32,0,57,1,"TEFA, ANPO, FEFA",601
Nangarhar,602,BEHSUD,25,78,41,20,16,0,36,1,"TEFA, ANPO, FEFA",602
Nangarhar,603,SURKH RUD,28,49,42,16,12,0,28,1,"TEFA, ANPO, FEFA",603
Nangarhar,608,KHUGYANI,27,46,28,16,0,0,16,1,"TEFA, FEFA",604
Nangarhar,604,CHAPARHAR,25,30,26,16,0,0,16,0,TEFA,605
Nangarhar,607,RODAT,20,30,22,10,16,0,26,1,"TEFA, ANPO, FEFA",606
Nangarhar,605,KAMA,41,55,45,20,12,0,32,1,"TEFA, ANPO, FEFA",607
Nangarhar,606,KUZ KUNAR,29,41,28,16,0,0,16,1,"TEFA, FEFA",608
Nangarhar,612,DARAH-E-NOOR,23,33,25,16,0,0,16,1,"TEFA, FEFA",609
Nangarhar,621,HESARAK,25,30,25,16,0,0,16,1,"TEFA, FEFA",610
Nangarhar,619,SHER ZAD,13,20,15,12,0,0,12,1,"TEFA, FEFA",611
Nangarhar,611,PACHIR WAGAM,16,22,17,0,0,0,0,1,FEFA,612
Nangarhar,610,DEH BALA,18,25,20,12,0,0,12,1,"TEFA, FEFA",613
Nangarhar,613,KOT,17,25,19,15,0,0,15,1,"TEFA, FEFA",614
Nangarhar,609,BATI KOT,22,35,24,10,0,0,10,1,"TEFA, FEFA",615
Nangarhar,614,GOSHTA,19,25,19,0,0,0,0,1,FEFA,616
Nangarhar,615,ACHIN,40,49,44,10,0,0,10,1,"TEFA, FEFA",617
Nangarhar,616,SHINWAR,18,33,25,16,0,0,16,1,"TEFA, FEFA",618
Nangarhar,617,MUHMAND DARA,19,33,28,10,6,0,16,1,"TEFA, ANPO, FEFA",619
Nangarhar,618,LALPOOR,4,14,8,16,0,0,16,1,"TEFA, FEFA",620
Nangarhar,620,NAZYAN,15,23,18,10,0,0,10,1,"TEFA, FEFA",621
Nangarhar,622,DUR BABA,10,19,10,0,0,0,0,1,FEFA,622
Laghman,701,MEHTARLAM,29,68,38,20,24,0,44,1,"TEFA, ANPO, FEFA",701
Laghman,703,ALISHING,17,31,18,17,8,0,25,1,"TEFA, ANPO, FEFA",702
Laghman,702,QARGHAYEE,23,57,31,17,12,0,29,1,"TEFA, ANPO, FEFA",703
Laghman,704,ALINGAR,23,38,27,17,16,0,33,1,"TEFA, ANPO, FEFA",704
Laghman,705,DAWLAT SHAH,17,22,20,17,8,0,25,0,"TEFA, ANPO",705
Panjshir,801,BAZARAK,10,15,10,12,0,0,12,1,"TEFA, FEFA",801
Panjshir,806,SHUTUL,11,16,11,13,0,0,13,1,"TEFA, FEFA",802
Panjshir,802,RUKHA,10,17,11,13,0,0,13,1,"TEFA, FEFA",803
Panjshir,803,DARAH,14,24,16,14,0,0,14,1,"TEFA, FEFA",804
Panjshir,804,HISSA-E-AWAL KHENJ,14,28,16,20,0,0,20,1,"TEFA, FEFA",805
Panjshir,805,UNABA,14,20,12,15,0,0,15,1,"TEFA, FEFA",806
Panjshir,807,PARYAN,24,28,22,20,0,0,20,1,"TEFA, FEFA",807
Baghlan,901,PUL-E-KHUMRI,47,78,54,20,0,0,20,1,"TEFA, FEFA",901
Baghlan,905,BAGLAN-E-JADED,46,70,50,20,0,0,20,1,"TEFA, FEFA",902
Baghlan,902,DAHANA-E-GHURI,23,26,24,20,0,0,20,1,"TEFA, FEFA",903
Baghlan,903,DUSHI,24,44,29,10,0,0,10,1,"TEFA, FEFA",904
Baghlan,904,NAHREEN,26,29,27,10,0,0,10,1,"TEFA, FEFA",905
Baghlan,911,TALA WA BARFAK,12,15,12,0,0,0,0,1,FEFA,906
Baghlan,906,KHINJAN,9,15,10,8,0,0,8,1,"TEFA, FEFA",907
Baghlan,907,ANDARAB,9,17,10,10,0,0,10,1,"TEFA, FEFA",908
Baghlan,909,JALGA,14,18,16,0,0,0,0,1,FEFA,909
Baghlan,910,BURKA,18,20,18,10,0,0,10,0,TEFA,910
Baghlan,912,PUL-E-HISAR,9,9,9,10,0,0,10,1,"TEFA, FEFA",911
Baghlan,908,DEH SALAH,11,14,11,10,0,0,10,1,"TEFA, FEFA",912
Baghlan,913,KHOST WA FIRING,21,25,21,10,0,0,10,1,"TEFA, FEFA",913
Baghlan,914,GOZARGAH-E-NUR,4,7,6,10,0,0,10,1,"TEFA, FEFA",914
Baghlan,915,FIRING WA GHARU,8,9,8,8,0,0,8,1,"TEFA, FEFA",915
Bamyan,1001,BAMYAN,23,33,26,22,0,0,22,1,"TEFA, FEFA",1001
Bamyan,1003,SAIGHAN,20,26,21,22,0,0,22,1,"TEFA, FEFA",1002
Bamyan,1005,YAKAWLANG,36,48,38,22,0,0,22,1,"TEFA, FEFA",1003
Bamyan,1006,PANJAB,28,40,29,22,0,0,22,1,"TEFA, FEFA",1004
Bamyan,1002,SHEBAR,14,20,14,22,0,0,22,1,"TEFA, FEFA",1005
Bamyan,1004,KAHMARD,19,24,18,22,0,0,22,0,TEFA,1006
Bamyan,1007,WARAS,48,68,48,22,0,0,22,1,"TEFA, FEFA",1007
Ghazni,1101,GHAZNI,57,131,97,20,40,0,60,1,"TEFA, ANPO, FEFA",1101
Ghazni,1103,KHWAJA OMARI,6,9,7,7,8,0,15,1,"TEFA, ANPO, FEFA",1102
Ghazni,1102,WALI MOHAMMAD SHAHED,5,10,6,7,0,0,7,1,"TEFA, FEFA",1103
Ghazni,1104,WAGHAZ,8,16,11,10,0,0,10,1,"TEFA, FEFA",1104
Ghazni,1107,ANDAR,39,61,50,20,0,0,20,1,"TEFA, FEFA",1105
Ghazni,1105,DEH YAK,12,25,12,17,8,0,25,1,"TEFA, ANPO, FEFA",1106
Ghazni,1108,ZANAKHAN,9,11,9,10,0,0,10,1,"TEFA, FEFA",1107
Ghazni,1109,RASHIDAN,8,12,8,10,0,0,10,1,"TEFA, FEFA",1108
Ghazni,1106,JAGHATU,21,37,27,20,0,0,20,1,"TEFA, FEFA",1109
Ghazni,1111,QARA BAGH,59,87,68,20,8,0,28,1,"TEFA, ANPO, FEFA",1110
Ghazni,1112,GIRO,19,28,23,20,0,0,20,1,"TEFA, FEFA",1111
Ghazni,1110,NAWUR,33,56,33,20,0,0,20,1,"TEFA, FEFA",1112
Ghazni,1114,JAGHURI,35,78,53,20,8,0,28,1,"TEFA, ANPO, FEFA",1113
Ghazni,1115,MUQUR,16,31,17,20,0,0,20,1,"TEFA, FEFA",1114
Ghazni,1113,AB BAND,12,14,12,12,0,0,12,1,"TEFA, FEFA",1115
Ghazni,1118,AJRISTAN,8,24,17,0,0,0,0,1,FEFA,1116
Ghazni,1116,MALISTAN,26,51,29,0,0,0,0,1,FEFA,1117
Ghazni,1117,GELAN,12,25,12,0,0,0,0,1,FEFA,1118
Ghazni,1119,Nawa,0,0,0,0,0,0,0,1,FEFA,1119
Paktya,1301,GARDEZ,22,49,32,23,20,0,43,1,"TEFA, ANPO, FEFA",1201
Paktya,1306,SAYYID KARAM,20,29,22,15,12,0,27,1,"TEFA, ANPO, FEFA",1202
Paktya,1302,AHMADABAD,12,27,19,18,12,0,30,1,"TEFA, ANPO, FEFA",1203
Paktya,1303,ZURMAT,34,40,34,20,0,0,20,0,TEFA,1204
Paktya,1304,SHWAK,2,5,3,4,0,0,4,1,"TEFA, FEFA",1205
Paktya,1305,WUZA ZADRAN,19,29,20,18,0,0,18,1,"TEFA, FEFA",1206
Paktya,1308,LAJA AHMAD KHEL,15,22,15,18,0,0,18,1,"TEFA, FEFA",1207
Paktya,1307,JAJI ARYOB,28,61,41,18,12,0,30,1,"TEFA, ANPO, FEFA",1208
Paktya,1309,JANI KHEL,11,16,12,0,0,0,0,0,,1209
Paktya,1310,SAMKANI,13,27,25,18,0,0,18,1,"TEFA, FEFA",1210
Paktya,1311,DAND PATAN,13,20,14,18,0,0,18,1,"TEFA, FEFA",1211
Kunar,1501,ASAD ABAD,10,40,20,17,20,0,37,1,"TEFA, ANPO, FEFA",1301
Kunar,1503,WATAPOOR,4,9,5,6,0,0,6,1,"TEFA, FEFA",1302
Kunar,1504,NARANG,7,14,8,0,4,0,4,1,"ANPO, FEFA",1303
Kunar,1505,SAR KANI,4,12,7,0,0,0,0,1,FEFA,1304
Kunar,1502,MARA WARA,5,14,6,10,4,0,14,1,"TEFA, ANPO, FEFA",1305
Kunar,1506,SHIGAL WA SHILTAN,6,17,12,0,8,0,8,1,"ANPO, FEFA",1306
Kunar,1507,DARA-E-PECH,13,22,18,0,0,0,0,1,FEFA,1307
Kunar,1509,SAWKAI,7,18,10,0,0,0,0,1,FEFA,1308
Kunar,1510,KHAS KUNAR,10,22,13,14,0,0,14,1,"TEFA, FEFA",1309
Kunar,1512,DANGAM,4,9,7,0,0,0,0,0,,1310
Kunar,1508,BAR KUNAR,7,14,8,0,0,0,0,0,,1311
Kunar,1511,GHAZI ABAD,3,8,6,0,0,0,0,0,,1312
Kunar,1513,CHAPA DARA,4,11,5,8,0,0,8,0,TEFA,1313
Kunar,1514,NOOR GAL,6,15,10,0,0,0,0,1,FEFA,1314
Kunar,1515,NARI,6,17,8,0,0,0,0,1,FEFA,1315
Nooristan,1601,PAROON,8,16,9,14,20,0,34,1,"TEFA, ANPO, FEFA",1401
Nooristan,1607,MANDOL,6,6,6,6,0,0,6,0,TEFA,1402
Nooristan,1605,DUAB,6,7,6,0,4,0,4,1,"ANPO, FEFA",1403
Nooristan,1604,NOOR GRAM,9,13,9,11,4,0,15,1,"TEFA, ANPO, FEFA",1404
Nooristan,1603,WAMA,7,16,13,14,4,0,18,1,"TEFA, ANPO, FEFA",1405
Nooristan,1602,WAYGAL,4,10,9,9,4,0,13,0,"TEFA, ANPO",1406
Nooristan,1606,KAMDESH,3,6,4,5,0,0,5,0,TEFA,1407
Nooristan,1608,BARG-E-MATAL,7,16,10,13,0,0,13,0,TEFA,1408
Badakhshan,1701,FAIZ ABAD,25,45,28,20,0,0,20,1,"TEFA, FEFA",1501
Badakhshan,1704,YAFTAL-E-SUFLA,17,33,21,0,0,0,0,1,FEFA,1502
Badakhshan,1702,ARGO,27,57,36,18,0,0,18,1,"TEFA, FEFA",1503
Badakhshan,1703,ARGHANJ KHWA,3,5,3,3,0,0,3,1,"TEFA, FEFA",1504
Badakhshan,1708,KOHISTAN,8,10,8,0,0,0,0,1,FEFA,1505
Badakhshan,1714,RAGISTAN,7,15,12,0,0,0,0,1,FEFA,1506
Badakhshan,1709,YAWAN,13,19,13,0,0,0,0,1,FEFA,1507
Badakhshan,1713,SHAHR-E-BUZURG,16,23,17,0,0,0,0,1,FEFA,1508
Badakhshan,1711,TASHKAN,12,14,12,12,0,0,12,1,"TEFA, FEFA",1509
Badakhshan,1707,DARAYIM,13,27,15,18,0,0,18,1,"TEFA, FEFA",1510
Badakhshan,1705,KHASH,6,12,11,10,0,0,10,1,"TEFA, FEFA",1511
Badakhshan,1706,BAHARAK,11,13,11,11,0,0,11,1,"TEFA, FEFA",1512
Badakhshan,1712,SHUHADA,8,11,8,0,0,0,0,1,FEFA,1513
Badakhshan,1719,SHIGHNAN,9,18,10,0,0,0,0,1,FEFA,1514
Badakhshan,1727,DARWAZ-E-BAL,8,16,8,0,0,0,0,1,FEFA,1515
Badakhshan,1721,KUFAB,7,13,9,0,0,0,0,1,FEFA,1516
Badakhshan,1720,KHWAHAN,8,12,9,0,0,0,0,1,FEFA,1517
Badakhshan,1715,KISHM,19,35,25,18,0,0,18,0,TEFA,1518
Badakhshan,1717,TAGAB,6,6,6,0,0,0,0,0,,1519
Badakhshan,1718,YAMGAN,10,19,12,0,0,0,0,1,FEFA,1520
Badakhshan,1710,JURM,9,14,11,0,0,0,0,0,,1521
Badakhshan,1716,WARDOOJ,9,15,11,0,0,0,0,0,,1522
Badakhshan,1723,ESHKASHIM,8,11,8,0,0,0,0,1,FEFA,1523
Badakhshan,1722,DARWAZ-E-PAY,7,9,8,0,0,0,0,1,FEFA,1524
Badakhshan,1724,SHIKI,7,9,8,0,0,0,0,1,FEFA,1525
Badakhshan,1726,KIRAN WA MENJAN,5,7,6,0,0,0,0,1,FEFA,1526
Badakhshan,1725,ZEBAK,4,4,4,0,0,0,0,1,FEFA,1527
Badakhshan,1728,WAKHAN,10,11,10,0,0,0,0,1,FEFA,1528
Takhar,1801,TALUQAN,38,94,57,16,0,0,16,1,"TEFA, FEFA",1601
Takhar,1802,HAZAR SUMUCH,6,8,6,5,0,0,5,1,"TEFA, FEFA",1602
Takhar,1803,BAHARAK,9,21,17,16,0,0,16,1,"TEFA, FEFA",1603
Takhar,1804,BANGI,5,16,11,0,0,0,0,1,FEFA,1604
Takhar,1805,CHAL,6,12,10,0,0,0,0,1,FEFA,1605
Takhar,1806,NAMAK AB,5,10,7,0,0,0,0,1,FEFA,1606
Takhar,1808,FARKHAR,11,23,14,16,0,0,16,1,"TEFA, FEFA",1607
Takhar,1807,KALAFGAN,10,23,14,16,0,0,16,1,"TEFA, FEFA",1608
Takhar,1810,RUSTAQ,36,83,50,16,0,0,16,1,"TEFA, FEFA",1609
Takhar,1816,CHAH AB,16,32,28,0,0,0,0,1,FEFA,1610
Takhar,1817,YANGI QALA,9,18,15,0,0,0,0,1,FEFA,1611
Takhar,1814,KHWAJA BAHA WUDDIN,7,13,7,0,0,0,0,1,FEFA,1612
Takhar,1812,DASHT-E-QALA,10,20,13,15,0,0,15,1,"TEFA, FEFA",1613
Takhar,1809,KHWAJA GHAR,14,33,21,16,0,0,16,1,"TEFA, FEFA",1614
Takhar,1811,ESHKAMESH,14,28,21,0,0,0,0,1,FEFA,1615
Takhar,1813,WARSAJ,10,22,14,16,0,0,16,1,"TEFA, FEFA",1616
Takhar,1815,DARQAD,9,15,9,0,0,0,0,1,FEFA,1617
Kunduz,1901,KUNDUZ,60,139,116,20,0,0,20,1,"TEFA, FEFA",1701
Kunduz,1905,HAZRAT-E-IMAM SAHEB,46,104,59,20,0,0,20,1,"TEFA, FEFA",1702
