id,name,provId,geoId,observersTotal,observersETWOA,observersACSFO,observersAABRAR,observersTEFA,observersTHRA,observersFEFA
102,Paghman,1,102,29,15,12,0,0,0,2
103,Chah Arasyab,1,103,31,22,4,0,4,0,1
104,Bagrami,1,104,48,27,8,0,11,0,2
105,Deh Sabz,1,105,10,0,7,0,1,0,2
106,Shakardara,1,106,9,0,7,0,0,0,2
107,Mosahi,1,107,2,0,0,0,0,0,2
108,Mir Bacha Kot,1,108,29,23,4,0,0,0,2
109,Khak-e-jabar,1,109,2,0,0,0,2,0,0
110,Kalakan,1,110,6,0,4,0,0,0,2
111,Guldara,1,111,7,0,5,0,0,0,2
112,Farza,1,112,6,0,4,0,0,0,2
113,Istalif,1,113,7,0,5,0,0,0,2
114,Qarabagh,1,114,8,0,6,0,0,0,2
115,Surobi,1,115,5,0,0,0,3,0,2
10101,Nahia 01,1,101,17,4,7,0,3,0,3
10102,Nahia 02,1,101,13,4,6,0,0,0,3
10103,Nahia 03,1,101,22,4,5,0,8,0,5
10104,Nahia 04,1,101,20,4,8,0,4,0,4
10105,Nahia 05,1,101,30,4,15,0,5,0,6
10106,Nahia 06,1,101,34,4,14,0,12,0,4
10107,Nahia 07,1,101,32,4,15,0,9,0,4
10108,Nahia 08,1,101,34,4,16,0,10,0,4
10109,Nahia 09,1,101,20,4,9,0,2,0,5
10110,Nahia 10,1,101,21,4,10,0,3,0,4
10111,Nahia 11,1,101,25,3,15,0,3,0,4
10112,Nahia 12,1,101,22,3,10,0,6,0,3
10113,Nahia 13,1,101,68,3,23,0,40,0,2
10114,Nahia 14,1,101,4,3,1,0,0,0,0
10115,Nahia 15,1,101,19,3,8,0,3,0,5
10116,Nahia 16,1,101,14,3,8,0,0,0,3
10117,Nahia 17,1,101,16,3,9,0,0,0,4
10118,Nahia 18,1,101,4,3,0,0,0,0,1
10119,Nahia 19,1,101,5,3,0,0,0,0,2
10121,Nahia 21,1,101,3,3,0,0,0,0,0
10122,Nahia 22,1,101,3,3,0,0,0,0,0
201,Mahmod-e-raqi,2,201,42,14,6,0,12,0,10
202,Hisa-e-awal-e-kohistan,2,202,30,16,6,0,5,0,3
203,Kohband,2,203,29,14,0,0,12,0,3
204,Hisa-e-awal-e-kohistan,2,204,42,16,5,0,17,0,4
205,Nijrab,2,205,33,0,7,0,23,0,3
206,Tagab,2,206,2,0,0,0,1,0,1
207,Alasay,2,207,0,0,0,0,0,0,0
301,Charekar,3,301,51,0,13,0,25,0,13
302,Bagram,3,302,10,0,7,0,0,0,3
303,Shorabak,3,303,0,0,0,0,0,0,0
304,Sayid Khail,3,304,16,0,6,0,7,0,3
305,Jabalussaraj,3,305,21,0,7,0,13,0,1
306,Salang,3,306,9,0,6,0,0,0,3
307,Ghorband,3,307,0,0,0,0,0,0,0
308,Koh-e-safi,3,308,0,0,0,0,0,0,0
309,Surkh-e-parsa,3,309,6,0,0,0,6,0,0
310,Shekh Ali,3,310,2,0,0,0,0,0,2
401,Maydanshahr,4,401,22,0,0,0,13,0,9
402,Nirkh,4,402,5,0,0,0,1,0,4
403,Jalrez,4,403,12,0,0,0,11,0,1
404,Chak,4,404,8,0,0,0,7,0,1
405,Saydabad,4,405,7,0,0,0,3,0,4
406,Daymerdad,4,406,0,0,0,0,0,0,0
407,Hisa-e-awal-e-bihsod,4,407,9,0,0,0,7,0,2
408,Jaghato,4,408,3,0,0,0,3,0,0
409,Markaz-e-bihsod,4,409,8,0,0,0,5,0,3
501,Pul-e-alam,5,501,73,0,6,32,23,0,12
502,Baraki Barak,5,502,11,0,2,4,5,0,0
503,Charkh,5,503,6,0,0,2,2,0,2
504,Khoshi,5,504,15,0,0,7,5,0,3
505,Muhammad Agha,5,505,60,0,8,26,21,0,5
506,Kharwar,5,506,4,0,0,0,2,0,2
507,Azra,5,507,7,0,0,4,2,0,1
602,Bihsod,6,602,57,0,15,0,28,7,7
603,Surkhrod,6,603,60,16,0,0,33,6,5
604,Chaparhar,6,604,0,0,0,0,0,0,0
605,Kama,6,605,39,26,7,0,0,4,2
606,Kozkunar,6,606,6,0,0,0,0,4,2
607,Rodat,6,607,26,25,0,0,0,1,0
608,Khogyani,6,608,1,0,1,0,0,0,0
609,Batikot,6,609,0,0,0,0,0,0,0
610,Dehbala,6,610,0,0,0,0,0,0,0
611,Pacher Agam,6,611,0,0,0,0,0,0,0
612,Dara-e-nor,6,612,44,42,0,0,0,2,0
613,Kot,6,613,0,0,0,0,0,0,0
614,Goshta,6,614,1,0,0,0,0,1,0
615,Achen,6,615,0,0,0,0,0,0,0
616,Shenwar,6,616,0,0,0,0,0,0,0
617,Muhmand Dara,6,617,3,0,3,0,0,0,0
618,Lalpor,6,618,0,0,0,0,0,0,0
619,Sherzad,6,619,0,0,0,0,0,0,0
620,Nazyan,6,620,1,0,0,0,0,1,0
621,Hisarak,6,621,0,0,0,0,0,0,0
622,Durbaba,6,622,0,0,0,0,0,0,0
623,Spin Ghar,6,623,0,0,0,0,0,0,0
60101,Provincial Capital Of Nangarhar (Jalalabad),6,601,35,10,5,0,12,2,6
60102,Provincial Capital Of Nangarhar (Jalalabad),6,601,33,10,5,0,12,0,6
60103,Provincial Capital Of Nangarhar (Jalalabad),6,601,30,10,3,0,12,0,5
60104,Provincial Capital Of Nangarhar (Jalalabad),6,601,32,10,4,0,12,1,5
60105,Provincial Capital Of Nangarhar (Jalalabad),6,601,30,10,3,0,11,1,5
60106,Provincial Capital Of Nangarhar (Jalalabad),6,601,25,10,0,0,10,0,5
701,Mihtarlam,7,701,73,20,0,0,32,6,15
702,Qarghayi,7,702,41,18,0,0,14,5,4
703,Alishang,7,703,15,11,0,0,2,0,2
704,Alingar,7,704,13,11,0,0,1,0,1
705,Dawlatshah,7,705,0,0,0,0,0,0,0
706,Badpakh,7,706,2,0,0,0,1,0,1
801,Bazarak,8,801,36,0,4,0,10,0,22
802,Rukha,8,802,9,0,4,0,5,0,0
803,Dara,8,803,11,0,4,0,7,0,0
804,Khinj,8,804,11,0,4,0,7,0,0
805,Onaba,8,805,4,0,0,0,4,0,0
806,Shutul,8,806,7,0,2,0,5,0,0
807,Paryan,8,807,12,0,4,0,8,0,0
808,Abshar,8,808,4,0,0,0,4,0,0
901,Pul-e-khumri,9,901,40,0,29,0,1,0,10
903,Doshi,9,903,10,0,6,0,2,0,2
904,Nahren,9,904,2,0,0,0,0,0,2
905,Baghlan-e-jadid,9,905,19,0,0,0,15,0,4
906,Khinjan,9,906,25,0,4,0,19,0,2
907,Andarab,9,907,4,0,0,0,2,0,2
908,Deh Salah,9,908,7,0,0,0,7,0,0
909,Khwaja Hijran,9,909,16,0,0,0,16,0,0
910,Borka,9,910,8,0,0,0,8,0,0
911,Tala Wa Barfak,9,911,15,0,0,0,15,0,0
912,Pul-e-hisar,9,912,7,0,0,0,7,0,0
913,Khost Wa Firing,9,913,32,0,0,0,32,0,0
914,Guzargah-e-nor,9,914,6,0,0,0,6,0,0
915,Firing Gharo,9,915,0,0,0,0,0,0,0
1001,Bamyan,10,1001,50,0,12,0,25,0,13
1002,Shebar,10,1002,12,0,4,0,6,0,2
1003,Sayghan,10,1003,14,0,6,0,6,0,2
1004,Kahmard,10,1004,10,0,0,0,8,0,2
1005,Yakawlang,10,1005,23,0,6,0,15,0,2
1006,Panjab,10,1006,15,0,6,0,7,0,2
1007,Waras,10,1007,12,0,0,0,10,0,2
1008,Yakawlang No. 2,10,1008,3,0,0,0,3,0,0
1201,Sharan,12,1201,20,0,0,0,12,0,8
1202,Matakhan,12,1202,8,0,0,0,7,0,1
1203,Yosuf Khel,12,1203,2,0,0,0,0,0,2
1204,Yahya Khel,12,1204,4,0,0,0,3,0,1
1205,Sar Rawzah,12,1205,3,0,0,0,2,0,1
1206,Omna,12,1206,0,0,0,0,0,0,0
1207,Zarghon Shahr,12,1207,6,0,0,0,4,0,2
1208,Gomal,12,1208,0,0,0,0,0,0,0
1209,Janikhel,12,1209,6,0,0,0,6,0,0
1210,Sarobi,12,1210,4,0,0,0,3,0,1
1211,Urgun,12,1211,10,0,0,0,6,0,4
1212,Zerok,12,1212,3,0,0,0,1,0,2
1213,Neka,12,1213,1,0,0,0,0,0,1
1214,Birmil,12,1214,2,0,0,0,2,0,0
1216,Dela,12,1216,2,0,0,0,1,0,1
1217,Wazakhah,12,1217,2,0,0,0,2,0,0
1218,Wormamay,12,1218,2,0,0,0,1,0,1
1219,Turwo,12,1219,0,0,0,0,0,0,0
1301,Gardez,13,1301,91,0,13,49,21,0,8
1302,Ahmadabad,13,1302,41,0,0,22,15,0,4
1303,Zurmat,13,1303,22,0,5,11,5,0,1
1304,Shawak,13,1304,8,0,3,5,0,0,0
1305,Zadran,13,1305,7,0,0,5,0,0,2
1306,Sayed Karam,13,1306,27,0,0,19,7,0,1
1307,Jaji,13,1307,44,0,0,41,1,0,2
1308,Lija Ahmadkhel,13,1308,26,0,0,15,9,0,2
1309,Jani Khel,13,1309,18,0,0,17,0,0,1
1310,Chamkani,13,1310,37,0,0,34,0,0,3
1311,Dand Wa Patan,13,1311,18,0,0,16,1,0,1
1312,Lija Mangal,13,1312,12,0,0,11,1,0,0
1313,Merzaka,13,1313,16,0,0,16,0,0,0
1314,Garda Siray,13,1314,10,0,0,10,0,0,0
1315,Rohani Baba,13,1315,9,0,0,9,0,0,0
1401,Maton,14,1401,174,17,0,110,37,0,10
1402,Mandozayi,14,1402,45,13,0,28,2,0,2
1403,Gurbuz,14,1403,29,0,0,17,10,0,2
1404,Tani,14,1404,57,18,0,36,2,0,1
1405,Mosa Khel,14,1405,17,0,0,16,0,0,1
1406,Nadir Shah Kot,14,1406,12,0,0,11,0,0,1
1407,Sabari,14,1407,33,12,0,18,2,0,1
1408,Tirezayi,14,1408,25,0,0,19,5,0,1
1409,Bak,14,1409,15,0,0,12,2,0,1
1410,Qalandar,14,1410,11,0,0,10,0,0,1
1411,Spera,14,1411,15,0,0,14,0,0,1
1412,Shamal,14,1412,13,0,0,12,0,0,1
1413,Jaji Maydan,14,1413,24,0,0,22,0,0,2
1501,Asadabad,15,1501,43,0,0,0,25,8,10
1502,Marawara,15,1502,10,0,0,0,5,3,2
1503,Watapor,15,1503,6,0,0,0,2,3,1
1504,Narang,15,1504,17,0,0,0,12,3,2
1505,Sarkani,15,1505,10,0,0,0,7,2,1
1506,Shegal Wa Shiltan,15,1506,7,0,0,0,3,3,1
1507,Dara-e-pech,15,1507,1,0,0,0,0,1,0
1508,Barkunar,15,1508,1,0,0,0,0,1,0
1509,Chawkay,15,1509,6,0,0,0,1,2,3
1510,Khas Kunar,15,1510,5,0,0,0,0,2,3
1511,Ghaziabad,15,1511,0,0,0,0,0,0,0
1512,Dangam,15,1512,1,0,0,0,0,1,0
1513,Chapadara,15,1513,0,0,0,0,0,0,0
1514,Norgal,15,1514,3,0,0,0,0,1,2
1515,Nari,15,1515,5,0,0,0,5,0,0
1516,Sheltan,15,1516,1,0,0,0,0,1,0
1601,Paron,16,1601,33,0,0,0,12,9,12
1602,Waygal,16,1602,9,0,0,0,6,3,0
1603,Wama,16,1603,17,0,0,0,8,7,2
1604,Nor Giram,16,1604,6,0,0,0,0,4,2
1605,Doab,16,1605,4,0,0,0,3,0,1
1606,Kamdesh,16,1606,11,0,0,0,6,4,1
1608,Barg-e-matal,16,1608,0,0,0,0,0,0,0
1701,Fayzabad,17,1701,48,0,11,0,25,0,12
1702,Argo,17,1702,16,0,6,0,2,0,8
1703,Arghanj Khwa,17,1703,2,0,0,0,2,0,0
1704,Yaftal-e-sufla,17,1704,17,0,5,0,11,0,1
1705,Khash,17,1705,12,0,4,0,7,0,1
1706,Baharak,17,1706,6,0,4,0,0,0,2
1707,Darayem,17,1707,0,0,0,0,0,0,0
1708,Kohestan,17,1708,0,0,0,0,0,0,0
1709,Yawan,17,1709,15,0,3,0,12,0,0
1710,Jorm,17,1710,28,0,4,0,23,0,1
1711,Teshkan,17,1711,10,0,3,0,7,0,0
1712,Shuhada,17,1712,7,0,4,0,3,0,0
1713,Shahr-e-buzorg,17,1713,3,0,3,0,0,0,0
1714,Raghestan,17,1714,4,0,0,0,4,0,0
1715,Keshem,17,1715,7,0,0,0,7,0,0
1717,Tagab,17,1717,2,0,2,0,0,0,0
1719,Shighnan,17,1719,5,0,0,0,5,0,0
1720,Khwahan,17,1720,0,0,0,0,0,0,0
1721,Kofab,17,1721,0,0,0,0,0,0,0
1722,Darwaz-e-payin,17,1722,6,0,0,0,6,0,0
1723,Eshkashem,17,1723,9,0,9,0,0,0,0
1724,Shaki,17,1724,0,0,0,0,0,0,0
1725,Zebak,17,1725,8,0,0,0,7,0,1
1726,Koran Wa Monjan,17,1726,7,0,0,0,7,0,0
1727,Darwaz-e-bala,17,1727,2,0,0,0,2,0,0
1728,Wakhan,17,1728,0,0,0,0,0,0,0
1801,Taluqan,18,1801,68,18,15,0,25,0,10
1802,Hazarsumoch,18,1802,22,11,1,0,8,0,2
1803,Baharak,18,1803,15,0,6,0,7,0,2
1804,Bangi,18,1804,16,0,6,0,9,0,1
1805,Chal,18,1805,14,0,5,0,8,0,1
1806,Namak Ab,18,1806,11,0,2,0,8,0,1
1807,Kalafgan,18,1807,28,16,5,0,6,0,1
1808,Farkhar,18,1808,27,13,6,0,6,0,2
1809,Khwaja Ghar,18,1809,9,0,4,0,4,0,1
1810,Rustaq,18,1810,16,0,10,0,5,0,1
1811,Ishkmish,18,1811,16,0,7,0,8,0,1
1812,Dasht-e-qala,18,1812,6,0,4,0,2,0,0
1813,Warsaj,18,1813,11,0,2,0,8,0,1
1814,Khwaja Bahawuddin,18,1814,10,0,2,0,8,0,0
1815,Darqad,18,1815,0,0,0,0,0,0,0
1816,Chahab,18,1816,20,0,9,0,9,0,2
1817,Yangi Qala,18,1817,11,0,2,0,9,0,0
1901,Kunduz,19,1901,110,0,0,0,92,0,18
1902,Chardarah,19,1902,0,0,0,0,0,0,0
1903,Aliabad,19,1903,10,0,0,0,8,0,2
1904,Khanabad,19,1904,8,0,0,0,6,0,2
1905,Imam Sahib,19,1905,38,0,0,0,34,0,4
1906,Dasht-e-archi,19,1906,0,0,0,0,0,0,0
1907,Qala-e-zal,19,1907,0,0,0,0,0,0,0
1910,Aqtash,19,1910,0,0,0,0,0,0,0
2001,Aybak,20,2001,54,0,8,0,35,0,11
2002,Hazrat-e-sultan,20,2002,15,0,6,0,6,0,3
2003,Khuram Wa Sarbagh,20,2003,13,0,0,0,10,0,3
2004,Feroz Nakhcher,20,2004,12,0,4,0,6,0,2
2005,Roy-e-doab,20,2005,3,0,0,0,0,0,3
2006,Dara-e-sof-e-payin,20,2006,7,0,0,0,7,0,0
2007,Dara-e Sof-e-bala,20,2007,10,0,0,0,6,0,4
2102,Nahr-e-shahi,21,2102,9,0,5,0,3,0,1
2103,Dehdadi,21,2103,21,0,12,0,7,0,2
2104,Char Kint,21,2104,2,0,0,0,0,0,2
2105,Marmul,21,2105,2,0,0,0,0,0,2
2106,Balkh,21,2106,16,0,9,0,5,0,2
2107,Sholgareh,21,2107,19,0,0,0,17,0,2
2108,Chimtal,21,2108,2,0,0,0,0,0,2
2109,Dawlatabad,21,2109,9,0,7,0,0,0,2
2110,Khulm,21,2110,17,0,5,0,10,0,2
2111,Char Bolak,21,2111,2,0,0,0,0,0,2
2112,Shortepa,21,2112,2,0,0,0,0,0,2
2113,Kaldar,21,2113,2,0,0,0,0,0,2
2114,Kishindeh,21,2114,7,0,0,0,5,0,2
2115,Zari,21,2115,5,0,0,0,3,0,2
210101,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,3,0,10,0,3
210102,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,3,0,10,0,3
210103,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210104,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210105,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210106,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,15,0,2,0,10,0,3
210107,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,3,0,10,0,3
210108,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,17,0,4,0,10,0,3
210109,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,15,0,2,0,10,0,3
210110,Provincial Capital Of Balkh (Mazar-e-sharif),21,2101,16,0,4,0,10,0,2
2201,Sar-e-pul,22,2201,37,0,0,0,26,0,11
2202,Sayad,22,2202,7,0,0,0,5,0,2
2204,Sozma Qala,22,2204,3,0,0,0,2,0,1
2205,Sancharak,22,2205,5,0,0,0,3,0,2
2206,Gosfandi,22,2206,6,0,0,0,2,0,4
2207,Balkhab,22,2207,4,0,0,0,2,0,2
2301,Ferozkoh,23,2301,113,17,17,0,61,0,18
2302,Dolayna,23,2302,7,3,0,0,4,0,0
2303,Dawlatyar,23,2303,35,18,6,0,8,0,3
2304,Charsada,23,2304,1,0,0,0,0,0,1
2305,Pasaband,23,2305,1,0,0,0,1,0,0
2306,Shahrak,23,2306,2,0,0,0,0,0,2
2307,Lal Wa Sarjangal,23,2307,48,22,12,0,11,0,3
2308,Taywarah,23,2308,2,0,0,0,2,0,0
2309,Tolak,23,2309,0,0,0,0,0,0,0
2310,Saghar,23,2310,3,0,0,0,3,0,0
2401,Neli,24,2401,48,18,12,0,10,0,8
2402,Shahristan,24,2402,30,18,0,0,9,0,3
2403,Gizab,24,2409,4,0,0,0,3,0,1
2404,Ashtarlay,24,2403,12,0,0,0,10,0,2
2405,Khader,24,2404,2,0,0,0,0,0,2
2406,Keti,24,2405,12,0,0,0,10,0,2
2407,Meramor,24,2406,36,20,0,0,12,0,4
2408,Sang-e-takht,24,2407,8,0,0,0,6,0,2
2409,Kajran,24,2408,2,0,0,0,0,0,2
2501,Tirenkot,25,2501,39,0,7,0,18,0,14
2502,Dehrawud,25,2502,5,0,0,0,1,0,4
2503,Chora,25,2503,11,0,0,0,11,0,0
2506,Chinarto,25,2507,2,0,0,0,0,0,2
2507,Gezab,25,2506,4,0,0,0,0,0,4
2601,Qalat,26,2601,38,0,0,0,22,0,16
2602,Tarnak Wa Jaldak,26,2602,4,0,0,0,2,0,2
2603,Shenkay,26,2603,3,0,0,0,3,0,0
2604,Mezan,26,2604,3,0,0,0,3,0,0
2605,Arghandab,26,2605,1,0,1,0,0,0,0
2606,Shahjoy,26,2606,5,0,0,0,4,0,1
2608,Atghar,26,2608,3,0,0,0,3,0,0
2609,Naw Bahar,26,2609,3,0,0,0,3,0,0
2610,Shumulzay,26,2610,0,0,0,0,0,0,0
2702,Arghandab,27,2702,38,22,1,0,13,0,2
2703,Daman,27,2703,58,40,5,0,11,0,2
2704,Panjwayi,27,2704,21,8,5,0,6,0,2
2705,Zhiray,27,2705,5,0,3,0,0,0,2
2706,Shah Wale Kot,27,2706,1,0,0,0,0,0,1
2707,Khakrez,27,2707,0,0,0,0,0,0,0
2708,Arghistan,27,2708,2,0,0,0,0,0,2
2709,Ghorak,27,2709,0,0,0,0,0,0,0
2710,Maywand,27,2710,0,0,0,0,0,0,0
2711,Spen Boldak,27,2711,23,20,0,0,0,0,3
2713,Miyanshen,27,2713,0,0,0,0,0,0,0
2714,Shorabak,27,2714,0,0,0,0,0,0,0
2716,Reg,27,2716,0,0,0,0,0,0,0
2717,Dand,27,2717,67,60,4,0,0,0,3
2718,Takhtapul,27,2718,2,0,0,0,0,0,2
270101,Provincial Capital Of Kandahar (Kandahar),27,2701,6,0,0,0,3,0,3
270102,Provincial Capital Of Kandahar (Kandahar),27,2701,13,0,7,0,3,0,3
270103,Provincial Capital Of Kandahar (Kandahar),27,2701,10,0,4,0,3,0,3
270104,Provincial Capital Of Kandahar (Kandahar),27,2701,11,0,6,0,3,0,2
270105,Provincial Capital Of Kandahar (Kandahar),27,2701,6,0,1,0,3,0,2
270106,Provincial Capital Of Kandahar (Kandahar),27,2701,7,0,2,0,3,0,2
270107,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,3,0,3,0,2
270108,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,3,0,3,0,2
270109,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,4,0,2,0,2
270110,Provincial Capital Of Kandahar (Kandahar),27,2701,8,0,4,0,2,0,2
270113,Provincial Capital Of Kandahar (Kandahar),27,2701,4,0,0,0,2,0,2
2801,Shiberghan,28,2801,122,26,12,0,61,0,23
2802,Khwaja Dukoh,28,2802,17,12,0,0,4,0,1
2803,Khanaqa,28,2803,0,0,0,0,0,0,0
2804,Mingajek,28,2804,0,0,0,0,0,0,0
2805,Qoshtepa,28,2805,0,0,0,0,0,0,0
2806,Khamyab,28,2806,0,0,0,0,0,0,0
2807,Aqcha,28,2807,23,10,7,0,5,0,1
2808,Fayzabad,28,2808,12,12,0,0,0,0,0
2810,Qarqen,28,2810,0,0,0,0,0,0,0
2901,Maymana,29,2901,50,0,0,0,37,0,13
2902,Pashton Kot,29,2902,6,0,0,0,5,0,1
2903,Khwaja Sabzposh,29,2903,1,0,0,0,0,0,1
2904,Almar,29,2904,1,0,0,0,0,0,1
2905,Bilcheragh,29,2905,0,0,0,0,0,0,0
2906,Shiren Tagab,29,2906,2,0,0,0,1,0,1
2907,Qaysar,29,2907,1,0,0,0,0,0,1
2908,Garzewan,29,2908,0,0,0,0,0,0,0
2909,Dawlatabad,29,2909,1,0,0,0,1,0,0
2911,Qaramqol,29,2911,1,0,0,0,0,0,1
2912,Qurghan,29,2912,1,0,0,0,0,0,1
2913,Andkhoy,29,2913,5,0,0,0,1,0,4
2914,Khan-e-char Bagh,29,2914,2,0,0,0,0,0,2
3001,Lashkargah,30,3001,58,15,0,0,28,0,15
3002,Nad-e-ali,30,3002,14,12,0,0,2,0,0
3003,Nawa-e-barakzaiy,30,3003,13,11,0,0,0,0,2
3004,Nahr-e-saraj,30,3004,29,10,0,0,18,0,1
3005,Washer,30,3005,0,0,0,0,0,0,0
3006,Garmser,30,3006,4,0,0,0,3,0,1
3008,Sangen,30,3008,0,0,0,0,0,0,0
3010,Kajaki,30,3010,2,0,0,0,2,0,0
3014,Marja,30,3014,5,0,0,0,5,0,0
3015,Nawa-i-mesh,30,3015,2,0,0,0,2,0,0
3101,Qala-e-naw,31,3101,53,0,7,0,32,0,14
3102,Ab Kamari,31,3102,21,0,5,0,10,0,6
3103,Muqur,31,3103,19,0,4,0,13,0,2
3104,Qades,31,3104,17,0,0,0,15,0,2
3105,Murghab,31,3105,0,0,0,0,0,0,0
3106,Jawand,31,3106,0,0,0,0,0,0,0
3107,Ghormach,31,3107,0,0,0,0,0,0,0
3202,Injel,32,3202,52,16,13,0,21,0,2
3203,Guzara,32,3203,91,45,21,0,23,0,2
3204,Karukh,32,3204,15,0,0,0,13,0,2
3205,Zindajan,32,3205,15,0,3,0,8,0,4
3206,Pashton Zarghon,32,3206,22,0,5,0,15,0,2
3207,Kushk,32,3207,46,19,10,0,16,0,1
3208,Gulran,32,3208,0,0,0,0,0,0,0
3209,Adraskan,32,3209,2,0,0,0,0,0,2
3210,Kushk-e-kuhna,32,3210,1,0,0,0,0,0,1
3211,Ghoryan,32,3211,14,0,0,0,12,0,2
3212,Obi,32,3212,2,0,0,0,0,0,2
3213,Kohsan,32,3213,51,42,7,0,0,0,2
3214,Shindand,32,3214,2,0,0,0,0,0,2
3215,Farsi,32,3215,4,0,4,0,0,0,0
3216,Chisht-e-sharef,32,3216,7,0,5,0,0,0,2
3219,Koh-i-zor,32,3219,0,0,0,0,0,0,0
3220,Zawol,32,3220,2,0,0,0,0,0,2
320101,Provincial Capital Of Herat (herat),32,3201,17,2,7,0,5,0,3
320102,Provincial Capital Of Herat (herat),32,3201,12,2,2,0,5,0,3
320103,Provincial Capital Of Herat (herat),32,3201,14,2,4,0,5,0,3
320104,Provincial Capital Of Herat (herat),32,3201,17,2,7,0,5,0,3
320105,Provincial Capital Of Herat (herat),32,3201,15,2,5,0,5,0,3
320106,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320107,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320108,Provincial Capital Of Herat (herat),32,3201,14,2,5,0,5,0,2
320109,Provincial Capital Of Herat (herat),32,3201,18,2,9,0,5,0,2
320110,Provincial Capital Of Herat (herat),32,3201,16,2,7,0,5,0,2
320111,Provincial Capital Of Herat (herat),32,3201,12,2,3,0,5,0,2
320112,Provincial Capital Of Herat (herat),32,3201,13,2,4,0,5,0,2
320113,Provincial Capital Of Herat (herat),32,3201,11,2,3,0,4,0,2
320114,Provincial Capital Of Herat (herat),32,3201,8,2,0,0,4,0,2
320115,Provincial Capital Of Herat (herat),32,3201,6,0,0,0,4,0,2
3301,Farah,33,3301,55,0,0,0,36,0,19
3302,Pushtrod,33,3302,2,0,0,0,0,0,2
3303,Khak-e-safed,33,3303,0,0,0,0,0,0,0
3304,Qala-ye-kah,33,3304,3,0,0,0,1,0,2
3305,Shebkoh,33,3305,1,0,0,0,0,0,1
3306,Balabulok,33,3306,0,0,0,0,0,0,0
3307,Anardara,33,3307,2,0,0,0,2,0,0
3308,Bakwa,33,3308,0,0,0,0,0,0,0
3309,Lash-e-juwayn,33,3309,1,0,0,0,0,0,1
3310,Gulistan,33,3310,1,0,0,0,1,0,0
3311,Purchaman,33,3311,0,0,0,0,0,0,0
3401,Zaranj,34,3401,40,0,0,0,24,0,16
3402,Kang,34,3402,9,0,0,0,6,0,3
3403,Chakhansor,34,3403,2,0,0,0,0,0,2
3404,Char Burjak,34,3404,3,0,0,0,0,0,3
3405,Khashrod,34,3405,0,0,0,0,0,0,0
3406,Dularam,34,3406,0,0,0,0,0,0,0
35999,Kuchi,35,,0,0,0,0,0,0,0
36999,Sikh,36,,0,0,0,0,0,0,0