provId,id,name,totalVoters
1,102,PAGHMAN,60545
1,103,CHAHAR ASYAB,35880
1,104,BAGRAMI,87785
1,105,DEHSABZ,43744
1,106,SHAKAR DARA,41788
1,107,MUSAHI,28636
1,108,MIR BACHA KOT,22792
1,109,KHAK-E-JABAR,18417
1,110,KALAKAN,14327
1,111,GULDARA,8645
1,112,FARZA,10750
1,113,ESTALEF,12835
1,114,QARA BAGH,47825
1,115,SURUBI,59080
1,10101,Nahia 01,21440
1,10102,Nahia 02,34181
1,10103,Nahia 03,41305
1,10104,Nahia 04,53716
1,10105,Nahia 05,80208
1,10106,Nahia 06,75823
1,10107,Nahia 07,76666
1,10108,Nahia 08,94772
1,10109,Nahia 09,56640
1,10110,Nahia 10,68143
1,10111,Nahia 11,81571
1,10112,Nahia 12,98473
1,10113,Nahia 13,136800
1,10114,Nahia 14,8238
1,10115,Nahia 15,74102
1,10116,Nahia 16,44138
1,10117,Nahia 17,56287
1,10118,Nahia 18,14715
1,10119,Nahia 19,13603
1,10121,Nahia 21,65103
1,10122,Nahia 22,7368
10,1001,PROVINCIAL CAPITAL OF BAMYAN ( BAMYAN ),44191
10,1002,SHEBAR,9316
10,1003,SAIGHAN,11801
10,1004,KAHMARD,20748
10,1005,YAKAWLANG,25318
10,1006,PANJAB,17739
10,1007,WARAS,29509
10,1008,YAKAWLANG NO 2,12853
11,1101,PROVINCIAL CAPITAL OF GHAZNI (GHAZNI),42561
11,1102,WALI MOHA (Wali Muhammad Shahid Khugyani_,871
11,1103,KHWAJA OMARI,2660
11,1104,WAGHAZ,2136
11,1105,DEH YAK,2835
11,1107,ANDAR,7279
11,1108,ZANAKHAN,918
11,1110,NAWUR,53458
11,1111,QARA BAGH,1704
11,1113,AB BAND,5701
11,1114,JAGHURI,50453
11,1115,MUQUR,19481
11,1116,MALISTAN,35160
11,1117,GELAN,9996
12,1201,PROVINCIAL CAPITAL OF PAKTIKA ( SHARAN ),20642
12,1202,MATA KHAN,14559
12,1203,YOSUF KHEL,10293
12,1204,YAHYA KHEL,15835
12,1205,SAR RAWZA,6237
12,1206,OMNA,3333
12,1207,ZARGHUN SHAHR,26977
12,1208,GOMAL,14650
12,1209,JANI KHEL,19298
12,1210,SURUBI,16532
12,1211,URGOON,22134
12,1212,ZIRUK,9934
12,1213,NIKA,6963
12,1214,BARMAL,10161
12,1216,DILA WA KHUSHAMAND,5754
12,1217,WAZAKHWAH,11322
12,1218,WOR MAMAY,13184
12,1219,TURWO,7919
13,1301,PROVINCIAL CAPITAL OF PAKTYA ( GARDEZ ),52483
13,1302,AHMADABA,27756
13,1303,ZURMAT,34543
13,1304,SHWAK,8757
13,1305,WUZA JADRAN,19233
13,1306,SAYYID KARAM,22522
13,1307,JAJI,60136
13,1308,LAJA AHMAD KHEL,25700
13,1309,JANI KHEL,22532
13,1310,SAMKANI,35231
13,1311,DAND PATAN,28685
13,1312,LAJA MANGAL,19631
13,1313,MIRZAKA,20359
13,1314,GARDA SIRAY,9272
13,1315,ROHANI BABA,13969
14,1401,PROVINCIAL CAPITAL OF KHOST ( KHOST ),73729
14,1402,MANDUZAY (ESMAYEL KHEL),19703
14,1403,GURBUZ,14985
14,1404,TANAY,23350
14,1405,MUSA KHEL,15052
14,1406,NADIRSHAH KOT,9312
14,1407,SABARI (YAQUBI),23797
14,1408,ALI SHER,18569
14,1409,BAAK,14666
14,1410,QALANDAR,7682
14,1411,SPERA,11655
14,1412,SHAMUL,6790
14,1413,JAJI MAIDAN,18826
15,1501,PROVINCIAL CAPITAL OF KUNARHA ( ASAD ABAD ),23402
15,1502,MARA WARA,11507
15,1503,WATAPOOR,5930
15,1504,NARANG WA BADIL,11078
15,1505,SAR KANI,17295
15,1506,SHIGAL WA SHELTAN,15106
15,1507,DARA-E-PECH,17636
15,1508,BAR KUNAR,10090
15,1509,SAWKAI,16627
15,1510,KHAS KUNA,17674
15,1511,GHAZI ABAD,3786
15,1512,DANGAM,6791
15,1513,CHAPA DARA,6187
15,1514,NOOR GAL,9200
15,1515,NARI,14925
15,1516,SHELTAN,3646
16,1601,PROVINCIAL CAPITAL OF NOORISTAN ( PAROON ),12113
16,1602,WAYGAL,11199
16,1603,WAMA,16708
16,1604,NOOR GRAM,13545
16,1605,DUAB,11144
16,1606,KAMDESH,10189
16,1607,MANDOL,4879
16,1608,BARG-E-MATAL,11291
17,1701,PROVINCIAL CAPITAL OF BADAKHSHAN ( FAIZ ABAD ),30527
17,1702,ARGO,32995
17,1703,ARGHANJ KHWAH,3795
17,1704,YAFTAL-E-SUFLA,23703
17,1705,KHASH,10432
17,1706,BAHARAK,15846
17,1707,DARAYIM,17977
17,1708,KOHISTAN,3220
17,1709,YAWAN,14529
17,1710,JURM,14891
17,1711,TASHKAN,13205
17,1712,SHUHADA,9714
17,1713,SHAHR-E-BUZURG,15103
17,1714,RAGHISTAN,7867
17,1715,KISHM,40246
17,1717,TAGAB,7196
17,1719,SHIGHNAN,7849
17,1720,KHWAHAN,7245
17,1721,KUFAB,8740
17,1722,DARWAZ-E-PAYIN (MAMAY),8917
17,1723,ESHKASHIM,5588
17,1724,SHIKI,6443
17,1725,ZEBAK,3240
17,1726,KIRAN WA MENJAN,3876
17,1727,DARWAZ-E-BALA (NESAY),7232
17,1728,WAKHAN,4951
18,1801,PROVINCIAL CAPITAL OF TAKHAR ( TALUQAN ),70062
18,1802,HAZAR SUMUCH,7139
18,1803,BAHARAK,14230
18,1804,BANGI,17157
18,1805,CHAL,12647
18,1806,NAMAK AB,6156
18,1807,KALAFGAN,20003
18,1808,FARKHAR,21838
18,1809,KHWAJA GHAR,15621
18,1810,RUSTAQ,47751
18,1811,ESHKAMESH,21517
18,1812,DASHT-E-QALA,5808
18,1813,WARSAJ,16206
18,1814,KHWAJA BAHAWUDDIN,8238
18,1815,DARQAD,1358
18,1816,CHAHAB,24207
18,1817,YANGI QALA,6630
19,1901,PROVINCIAL CAPITAL OF KUNDUZ ( KUNDUZ ),79562
19,1902,CHAR DARAH,6711
19,1903,ALI ABAD,9688
19,1904,KHAN ABAD,23761
19,1905,HAZRATI IMAM SAHIB,50551
19,1906,DASHTI-E-ARCHI,9757
19,1907,QALA-E-ZAL,2656
19,1910,AQTASH,9860
2,201,PROVINCIAL CAPITAL OF KAPISA (MAHMUDI RAQI),30174
2,202,HISSA-E- DUWUMI KOHISTAN,23118
2,203,KOH BAND,21529
2,204,HISSA-E-AWALI KOHISTAN,29551
2,205,NIJRAB,33268
2,206,TAGAB,19665
2,207,ALASAY,3513
20,2001,PROVINCIAL CAPITAL OF SAMANGAN ( AYBAK ),38427
20,2002,HAZRAT-E-SULTAN,17339
20,2003,KHURAM WA SARBAGH,9807
20,2004,FEROZ NAKHCHEER,6191
20,2005,ROI-DO-AB,19912
20,2006,DARA-E-SOOF-E-PAYIN,19052
20,2007,DARA-E-SOOF-E-PAYIN,30776
21,2102,NAHR-E-SHAHI,28701
21,2103,DEHDADI,28943
21,2104,CHAR KENT,20157
21,2105,MARMUL,9254
21,2106,BALKH,42026
21,2107,SHOLGARA,49114
21,2108,CHIMTAL,19582
21,2109,DAWLAT ABAD,18146
21,2110,KHULM,20311
21,2111,CHAR BOLAK,20705
21,2112,SHORTEPA,9629
21,2113,KALDAR,9212
21,2114,KISHINDEH,21300
21,2115,ZARI,28362
21,210101,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),22836
21,210102,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),9949
21,210103,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),14962
21,210104,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),12083
21,210105,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),20707
21,210106,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),8987
21,210107,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),14544
21,210108,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),15292
21,210109,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),9299
21,210110,PROVINCIAL CAPITAL OF BALKH ( MAZAR-E-SHARIF ),17866
22,2201,PROVINCIAL CAPITAL OF SAR-E-PUL ( SAR-E-PUL ),50578
22,2202,SAYAD,7063
22,2204,SOZMA QALA,6460
22,2205,SANGCHARAK,28609
22,2206,GOSFANDI,17523
22,2207,BALKHAB,30715
23,2301,PROVINCIAL CAPITAL OF GHOR ( CHIGHCHERAN ),72451
23,2302,DULEENA,16590
23,2303,DAWLATYAR,26185
23,2304,CHAR SADA,6536
23,2305,PASABAND,5042
23,2306,SHAHRAK,29421
23,2307,LAL WA SARJANGAL,42566
23,2308,TAYWARA,22132
23,2309,TULAK,22100
23,2310,SAGHAR,7210
24,2401,PROVINCIAL CAPITAL OF DAYKUNDI ( NILI ),19042
24,2402,SHAHRISTAN,27361
24,2403,GIZAB,11385
24,2404,ISHTERLAI,17590
24,2405,KHEDIR,17775
24,2406,GETI,20980
24,2407,MIRAMOR,29057
24,2408,SANG-E-TAKHT,17126
24,2409,KEJRAN,12842
25,2501,PROVINCIAL CAPITAL OF UROZGAN ( TIRINKOT ),31673
25,2502,DEHRAOUD,13723
25,2503,CHORA,9878
25,2504,SHAHID-E-HASSAS,18
25,2506,CHINARTO,1660
25,2507,GIZAB,6693
26,2601,PROVINCIAL CAPITAL OF ZABUL ( QALAT ),31380
26,2602,TARANK WA JALDAK,5681
26,2603,SHINKAI,4166
26,2604,MIZAN,2108
26,2605,ARGHANDAB,405
26,2606,SHAH JOI,15495
26,2608,ATGHAR,1482
26,2609,NAW BAHAR,681
26,2610,SHEMEL ZAYI,5091
27,2702,ARGHANDAB,25316
27,2703,DAMAN,20452
27,2704,PANJWAYEE,26385
27,2705,ZHIRE,31217
27,2706,SHAH WALI KOT,4919
27,2707,KHAKREZ,482
27,2708,ARGHISTAN,9679
27,2709,GHORAK,585
27,2710,MAIWAND,8675
27,2711,SPIN BOLDAK,103299
27,2712,NESH,511
27,2713,MIYANISHIN,1003
27,2714,SHORABAK,348
27,2716,REG (SHIGA),319
27,2717,DAND,25908
27,2718,TAKHTA PUL,12222
27,270101,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),55401
27,270102,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),50008
27,270103,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),8760
27,270104,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),48799
27,270105,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),6713
27,270106,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),8221
27,270107,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),13805
27,270108,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),12984
27,270109,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),29486
27,270110,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),47315
27,270113,PROVINCIAL CAPITAL OF KANDAHAR ( KANDAHAR ),5755
28,2801,PROVINCIAL CAPITAL OF JAWZJAN ( SHEBERGHAN ),64129
28,2802,KHWAJA DUKOH,12812
28,2803,KHANAQA,2678
28,2804,MINGAJIK,821
28,2805,QUSH TEPA,2622
28,2806,KHAMYAB,115
28,2807,AQCHAH,12085
28,2808,FAIZABAD,5001
28,2809,MARDYAN,111
28,2810,QARQIN,2319
28,2811,DARZAB,693
29,2901,PROVINCIAL CAPITAL OF FARYAB ( MAIMANA ),48898
29,2902,PASHTUN KOT,20772
29,2903,KHWAJA SABZPOSH,2009
29,2904,ALMAR,10686
29,2905,BIL CHIRAGH,14925
29,2906,SHIRIN TAGAB,3701
29,2907,QAISAR,41543
29,2908,GURZIWAN,16392
29,2909,DAWLAT ABAD,5419
29,2910,KOHISTAN,1185
29,2911,QARAM QUL,7373
29,2912,QURGHAN,11571
29,2913,ANDKHOY,25449
29,2914,KHANI CHARBAGH,10287
3,301,PROVINCIAL CAPITAL OF PARWAN (CHARIKAR),54991
3,302,BAGRAM,50466
3,303,SHINWARI,15039
3,304,SAYID KHAIL,18953
3,305,JABULUSSARAJ,22785
3,306,SALANG,13902
3,307,SYAHGIRDI GHORBAND,13682
3,308,KOHI SAFI,6207
3,309,SURKHI PARSA,13106
3,310,SHAYKH ALI,9804
30,3001,PROVINCIAL CAPITAL OF HELMAND (LASHKARGAH),168193
30,3002,NAD ALI,41532
30,3003,NAWA-E-BARIKZAYI,38036
30,3004,NAHR-E-SARAJ,49674
30,3005,WASHER,4069
30,3006,GARM SER,9301
30,3008,SANGIN QALA,1675
30,3010,KAJAKI,641
30,3014,MARJA,10146
30,3015,NAWAMISH,8899
31,3101,PROVINCIAL CAPITAL OF BADGHIS ( QALA-E-NOW ),32256
31,3102,AB KAMARI,13697
31,3103,MUQUR,4359
31,3104,QADIS,5227
31,3105,BALA MURGHAB,16450
31,3106,JAWAND,16975
31,3107,GHORMACH,12407
32,3202,ENJIL,72254
32,3203,NIZAM-E-SHAHID (GUZARA),57009
32,3204,KARRUKH,29832
32,3205,ZENDAJAN,15899
32,3206,PASHTUN ZARGHUN,19811
32,3207,KUSHK (RUBAT-E-SANGI),34992
32,3208,GULRAN,5635
32,3209,ADRASKAN,7557
32,3210,KUSHK-E-KUHNA,15739
32,3211,GHORYAN,35287
32,3212,OBE,11642
32,3213,KOHSAN,27209
32,3214,SHINDAND,9681
32,3215,FERSI,3519
32,3216,CHISHT-E-SHARIF,2848
32,3219,KOHE ZOR,1098
32,3220,ZAWOL,3317
32,320101,PROVINCIAL CAPITAL OF HERAT (HERAT),14003
32,320102,PROVINCIAL CAPITAL OF HERAT (HERAT),4957
32,320103,PROVINCIAL CAPITAL OF HERAT (HERAT),14106
32,320104,PROVINCIAL CAPITAL OF HERAT (HERAT),8397
32,320105,PROVINCIAL CAPITAL OF HERAT (HERAT),30963
32,320106,PROVINCIAL CAPITAL OF HERAT (HERAT),18702
32,320107,PROVINCIAL CAPITAL OF HERAT (HERAT),19360
32,320108,PROVINCIAL CAPITAL OF HERAT (HERAT),16029
32,320109,PROVINCIAL CAPITAL OF HERAT (HERAT),12936
32,320110,PROVINCIAL CAPITAL OF HERAT (HERAT),12472
32,320111,PROVINCIAL CAPITAL OF HERAT (HERAT),13975
32,320112,PROVINCIAL CAPITAL OF HERAT (HERAT),22294
32,320113,PROVINCIAL CAPITAL OF HERAT (HERAT),23075
32,320114,PROVINCIAL CAPITAL OF HERAT (HERAT),4708
32,320115,PROVINCIAL CAPITAL OF HERAT (HERAT),4749
33,3301,PROVINCIAL CAPITAL OF FARAH (FARAH),52108
33,3302,PUSHTRUD,274
33,3303,KHAK-E-SAFED,1563
33,3304,QALA-E-KAH,1035
33,3305,SHIB KOH,322
33,3306,BALA BULUK,3054
33,3307,ANAR DARA,1833
33,3308,BAKWA,607
33,3309,LASH-E-JUWAYN,5153
33,3310,GULISTAN,662
33,3311,PUR CHAMAN,2027
34,3401,PROVINCIAL CAPITAL OF NIMROZ (ZARANJ),47760
34,3402,KANG,9946
34,3403,ASL-E-CHAKHANSUR,8495
34,3404,CHAR BURJAK,8198
34,3405,KHASHROD,7081
34,3406,DULARAM,10460
4,401,PROVINCIAL CAPITAL OF WARDAK (MAYDAN SHAHR),22629
4,402,NERKH,15770
4,403,JALREZ,15836
4,404,CHAKI WARDAK,22768
4,405,SAYYDABAD,26817
4,406,DAYMIRDAD,5367
4,407,HISSA-E-AWALI BIHSUD,14950
4,408,JAGHATU,3014
4,409,MARKAZ-E-BEHSUD,35093
5,501,PROVINCIAL CAPITAL OF LOGAR ( PULI ALAM ),43711
5,502,BARAKI BARAK,3296
5,503,CHARKH,2382
5,504,KHUSHI,13349
5,505,MOHAMMAD AGHA,38464
5,506,KHAR WAR,171
5,507,AZRA,6186
6,602,BEHSUD,77575
6,603,SURKH RUD,76839
6,604,CHAPARHAR,33774
6,605,KAMA,49640
6,606,KUZKUNAR,37794
6,607,RODAT,45306
6,608,KHUGYANI,54455
6,609,BATI KOT,35914
6,610,DEH BALA,10564
6,611,PACHIR WAGAM,19147
6,612,DARAH-E-NOOR,36675
6,613,KOT,28016
6,614,GOSHTA,22191
6,615,ACHIN,23161
6,616,SHINWAR,27714
6,617,MUHMAND DARA,31169
6,618,LALPOOR,13963
6,619,SHER ZAD,1774
6,620,NAZYAN,16834
6,621,HESARAK,5760
6,622,DUR BABA,21407
6,623,SPIN GHAR,17642
6,60101,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),24425
6,60102,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),29766
6,60103,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),31838
6,60104,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),41712
6,60105,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),20070
6,60106,PROVINCIAL CAPITAL OF NANGARHAR ( JALALABAD ),21118
7,701,PROVINCIAL CAPITAL OF LAGHMAN ( MEHTERLAM ),70479
7,702,QARGHAYEE,64038
7,703,ALISHING,12282
7,704,ALINGAR,12877
7,705,DAWLAT SHAH,13074
7,706,BAD PAKH,536
8,801,PROVINCIAL CAPITAL OF PANJSHER ( BAZARAK ),13239
8,802,RUKHA,6036
8,803,DARAH,9099
8,804,HISSA-E-AWAL ( KHINJ ),15624
8,805,UNABA,12166
8,806,SHUTUL,5354
8,807,PARYAN,8215
8,808,AB SHAR,7572
9,901,PROVINCIAL CAPITAL OF BAGHLAN ( PUL-E-KHUMRI ),57601
9,903,DUSHI,30116
9,904,NAHREEN,55616
9,905,BAGHLAN-E-JADEED,87364
9,906,KHINJAN,12761
9,907,ANDARAB,11386
9,908,DEH SALAH,21104
9,909,JALGA,22861
9,910,BURKA,22059
9,911,TALA WA BARFAK,35559
9,912,PUL-E-HISAR,20593
9,913,KHOST WA FIRING,41130
9,914,GOZARGAH-E-NOOR,7199
9,915,FIRING WA GHARU,11659